route	step	geom
2	0	LINESTRING (139.73312 35.70192, 139.73305000000002 35.70192, 139.73275 35.7019)
2	1	LINESTRING (139.73275 35.7019, 139.73275 35.701840000000004, 139.73277000000002 35.7017, 139.73278000000002 35.701480000000004, 139.7328 35.701190000000004, 139.73281 35.701080000000005, 139.73283 35.70083, 139.73284 35.700630000000004, 139.73293 35.700410000000005, 139.733 35.70026, 139.73308 35.700070000000004, 139.73314000000002 35.699940000000005, 139.73315000000002 35.69993, 139.73316 35.6999, 139.73347 35.699180000000005, 139.73348000000001 35.69917, 139.73348000000001 35.69914, 139.73378000000002 35.698460000000004, 139.73378000000002 35.69845, 139.73411000000002 35.69778, 139.73412000000002 35.697750000000006, 139.73438000000002 35.697210000000005, 139.73438000000002 35.6972, 139.73439000000002 35.69718, 139.73440000000002 35.697160000000004, 139.73441000000003 35.697120000000005, 139.73442 35.69711, 139.73443 35.69709, 139.73444 35.69708, 139.73445 35.697070000000004, 139.73446 35.69706, 139.73450000000003 35.697030000000005, 139.73453 35.697010000000006, 139.73461 35.69697, 139.73521000000002 35.696600000000004, 139.73525 35.69657, 139.73530000000002 35.696540000000006, 139.73536000000001 35.696470000000005, 139.7354 35.69643, 139.73555000000002 35.69628, 139.73565000000002 35.696180000000005, 139.73597 35.69586, 139.73639 35.695440000000005, 139.73653000000002 35.6953, 139.73696 35.69489, 139.73697 35.694880000000005, 139.7371 35.694750000000006, 139.73714 35.694720000000004, 139.73721 35.694660000000006, 139.73725000000002 35.69462, 139.73726000000002 35.69462, 139.73742000000001 35.69449, 139.73753000000002 35.694410000000005, 139.73768 35.69429)
2	2	LINESTRING (139.73768 35.69429, 139.73777 35.69424, 139.73772000000002 35.694190000000006, 139.73760000000001 35.69406, 139.73743000000002 35.693870000000004, 139.73721 35.69364, 139.73717000000002 35.69359, 139.7371 35.69353, 139.73706 35.6935, 139.73700000000002 35.69344, 139.73692 35.693380000000005, 139.73682000000002 35.6933, 139.73678 35.693270000000005, 139.73656000000003 35.693110000000004, 139.73637000000002 35.69296000000001, 139.73618000000002 35.69281, 139.73589 35.69259, 139.73585 35.69256, 139.73572000000001 35.692460000000004, 139.73564000000002 35.692400000000006, 139.73561 35.692370000000004, 139.73558 35.692350000000005, 139.73553 35.692310000000006, 139.73544 35.692260000000005, 139.73533 35.6922, 139.73518 35.69212, 139.73506 35.69207, 139.7346 35.691840000000006)
2	3	LINESTRING (139.7346 35.691840000000006, 139.73459000000003 35.691810000000004, 139.73458000000002 35.691790000000005, 139.73457000000002 35.69178, 139.73455 35.691770000000005, 139.73453 35.69176, 139.73451 35.69174, 139.73450000000003 35.69174, 139.73437 35.691680000000005, 139.73425 35.69163, 139.73422000000002 35.691610000000004, 139.73405000000002 35.691500000000005, 139.73395000000002 35.69144, 139.73392 35.691430000000004, 139.7339 35.69142, 139.73386000000002 35.691410000000005, 139.73381 35.691410000000005, 139.73364 35.691280000000006, 139.73343 35.69111, 139.73340000000002 35.69109, 139.73324000000002 35.69098, 139.73319 35.690940000000005, 139.73313000000002 35.690900000000006, 139.73306000000002 35.690830000000005, 139.73293 35.69071, 139.73284 35.690630000000006, 139.73271 35.69051, 139.73261000000002 35.69042, 139.73253000000003 35.690340000000006, 139.73252000000002 35.69033, 139.73249 35.690310000000004, 139.73245 35.690270000000005, 139.73239 35.69024, 139.73237 35.690220000000004, 139.73235000000003 35.69021, 139.73231 35.690200000000004, 139.73226000000003 35.690180000000005, 139.73218 35.690160000000006, 139.73206000000002 35.69013, 139.73185 35.69008, 139.73157 35.69001, 139.73151000000001 35.68999, 139.73142 35.68997, 139.73125000000002 35.689910000000005, 139.73112 35.689870000000006, 139.73112 35.68985, 139.73111 35.689840000000004, 139.7311 35.68983, 139.73109000000002 35.68983, 139.73107000000002 35.689820000000005, 139.73103 35.689800000000005, 139.73095 35.68977, 139.73089000000002 35.68974, 139.73086 35.68972, 139.73083 35.6897, 139.73079 35.68967, 139.73077 35.689640000000004, 139.73073000000002 35.68958, 139.73069 35.68952, 139.73067 35.68948, 139.73066 35.68945, 139.73062000000002 35.68934, 139.73051 35.68905, 139.73047000000003 35.68894, 139.73037000000002 35.68862, 139.7303 35.68842, 139.73016 35.688010000000006, 139.73014 35.687920000000005, 139.72998 35.68737, 139.72996 35.68733, 139.72990000000001 35.6871, 139.72982000000002 35.686820000000004, 139.72977 35.68667, 139.72973000000002 35.686510000000006, 139.72972000000001 35.68648, 139.72971 35.68645, 139.72962 35.68614, 139.72961 35.68609, 139.72958 35.68601, 139.72955000000002 35.685930000000006, 139.72952 35.685790000000004, 139.7295 35.685610000000004, 139.72946000000002 35.685390000000005, 139.72943 35.68518, 139.72937000000002 35.684670000000004, 139.72933 35.684340000000006, 139.72932 35.68428, 139.72930000000002 35.68423, 139.72928000000002 35.684180000000005, 139.72926 35.68415, 139.72924 35.6841)
2	4	LINESTRING (139.72924 35.6841, 139.72924 35.68408, 139.72924 35.684070000000006, 139.72924 35.684050000000006, 139.72923 35.68403, 139.72922 35.68401, 139.72920000000002 35.683980000000005, 139.72917 35.68394, 139.72915 35.683910000000004, 139.72914 35.683890000000005, 139.72912000000002 35.683870000000006, 139.72910000000002 35.68385, 139.72908 35.68383, 139.72905 35.683820000000004, 139.72903000000002 35.683820000000004, 139.72901000000002 35.683820000000004, 139.729 35.68379, 139.7288 35.68356, 139.72863 35.683370000000004, 139.72845 35.68316, 139.72822000000002 35.682880000000004, 139.7281 35.68274, 139.72801 35.68263, 139.7279 35.682500000000005, 139.7278 35.682370000000006, 139.72777000000002 35.68234, 139.72768000000002 35.682230000000004, 139.72759000000002 35.68213, 139.72755 35.68207, 139.72753 35.682030000000005, 139.72752 35.68202, 139.72749000000002 35.68198, 139.72748 35.68195, 139.72747 35.68193, 139.72745 35.68189, 139.72743 35.681850000000004, 139.7273 35.68155, 139.72712 35.68115, 139.72682 35.6805, 139.72673 35.680310000000006, 139.72670000000002 35.680240000000005, 139.72665 35.680130000000005, 139.72661000000002 35.680060000000005, 139.72660000000002 35.680040000000005, 139.72657 35.679990000000004, 139.72650000000002 35.6799)
2	5	LINESTRING (139.72650000000002 35.6799, 139.72638 35.679950000000005, 139.7263 35.679990000000004, 139.72618 35.680040000000005, 139.72586 35.68019, 139.72572000000002 35.68027, 139.72564 35.68038, 139.72552000000002 35.68054, 139.72547 35.68061, 139.72544000000002 35.680670000000006, 139.72542 35.6807, 139.72537 35.680800000000005, 139.72528 35.68094, 139.72519 35.68106, 139.72517000000002 35.681090000000005)
2	6	LINESTRING (139.72517000000002 35.681090000000005, 139.72492 35.680960000000006, 139.72457 35.680780000000006, 139.72455000000002 35.68077, 139.72452 35.68076000000001, 139.7245 35.68075, 139.72448 35.68074, 139.72446000000002 35.68074, 139.72443 35.68074, 139.72441 35.68074, 139.72424 35.68075, 139.72402000000002 35.68077, 139.72391000000002 35.680780000000006, 139.72374000000002 35.68081, 139.72357000000002 35.68083, 139.72353 35.68084, 139.72331 35.68088, 139.72316 35.6809)
2	7	LINESTRING (139.72316 35.6809, 139.72304 35.681380000000004, 139.72296 35.68171, 139.72295 35.681740000000005, 139.72294000000002 35.68177, 139.72293000000002 35.681830000000005, 139.72293000000002 35.68184)
3	0	LINESTRING (139.77414000000002 35.67157, 139.77424000000002 35.67181, 139.77437 35.67212, 139.77448 35.672380000000004, 139.77461000000002 35.672700000000006, 139.77464 35.672760000000004, 139.77476000000001 35.67307)
3	1	LINESTRING (139.77476000000001 35.67307, 139.77460000000002 35.673080000000006, 139.77419 35.67311)
3	2	LINESTRING (139.77419 35.67311, 139.77419 35.673190000000005, 139.77419 35.673280000000005, 139.77421 35.67347, 139.77421 35.673590000000004, 139.77421 35.67363, 139.77422 35.67381, 139.77422 35.67385, 139.77423000000002 35.674060000000004, 139.77424000000002 35.67414, 139.77426 35.67419, 139.77428 35.674260000000004, 139.77432000000002 35.67439, 139.7744 35.67465)
3	3	LINESTRING (139.7744 35.67465, 139.77384 35.67468, 139.77368 35.674690000000005, 139.7734 35.67472, 139.77339 35.67472, 139.77333000000002 35.67474, 139.77323 35.674780000000005, 139.77315000000002 35.67481, 139.77312 35.67483, 139.77306000000002 35.674850000000006, 139.77293 35.674910000000004, 139.77286 35.67494, 139.77275 35.674980000000005, 139.77261000000001 35.67503, 139.7725 35.675070000000005, 139.77200000000002 35.675270000000005, 139.77190000000002 35.67526, 139.77169 35.675340000000006, 139.77118000000002 35.675560000000004, 139.77110000000002 35.67559, 139.77041 35.67587, 139.77028 35.67593, 139.77007 35.676010000000005, 139.7699 35.676080000000006, 139.76973 35.67615, 139.76930000000002 35.67633, 139.769 35.67645, 139.76894000000001 35.67649, 139.76891 35.676500000000004, 139.76861000000002 35.67663, 139.76847 35.67669, 139.76837 35.67672, 139.7683 35.676750000000006, 139.76825000000002 35.676770000000005, 139.76823000000002 35.67678, 139.76807000000002 35.676840000000006, 139.76775 35.67696, 139.76767 35.677, 139.76745000000003 35.677080000000004, 139.76735000000002 35.67712, 139.76709000000002 35.677200000000006)
3	4	LINESTRING (139.76709000000002 35.677200000000006, 139.76690000000002 35.677200000000006, 139.76697000000001 35.67732, 139.7671 35.67747, 139.76711 35.677490000000006, 139.76723 35.67766, 139.7673 35.677780000000006, 139.76737 35.67788, 139.76747 35.67804, 139.76749 35.67808, 139.76751000000002 35.67812, 139.76761000000002 35.678250000000006, 139.76775 35.678490000000004, 139.76778000000002 35.67853, 139.76784 35.67862, 139.76785 35.67864, 139.76786 35.67866, 139.76791 35.67873, 139.76801 35.678900000000006, 139.76832000000002 35.679370000000006, 139.76850000000002 35.67963, 139.76851000000002 35.67965)
3	5	LINESTRING (139.76851000000002 35.67965, 139.76848 35.67972, 139.76848 35.679730000000006, 139.76848 35.67974, 139.76848 35.679750000000006, 139.76848 35.67976, 139.76849 35.679770000000005, 139.76851000000002 35.67982, 139.76855 35.67991, 139.76856 35.67994, 139.76866 35.68032, 139.76865 35.68034, 139.76864 35.680350000000004, 139.76863 35.68036, 139.76862 35.68037, 139.76861000000002 35.68037, 139.76860000000002 35.68037, 139.76859000000002 35.68038, 139.76858000000001 35.68038, 139.76857 35.68037, 139.76856 35.68037, 139.76856 35.68036)
4	0	LINESTRING (139.73312 35.70192, 139.73305000000002 35.70192, 139.73275 35.7019)
4	1	LINESTRING (139.73275 35.7019, 139.73275 35.701840000000004, 139.73277000000002 35.7017, 139.73278000000002 35.701480000000004, 139.7328 35.701190000000004, 139.73281 35.701080000000005, 139.73283 35.70083, 139.73284 35.700630000000004, 139.73293 35.700410000000005, 139.733 35.70026, 139.73308 35.700070000000004, 139.73314000000002 35.699940000000005, 139.73315000000002 35.69993, 139.73316 35.6999)
4	2	LINESTRING (139.73316 35.6999, 139.73269000000002 35.699740000000006, 139.73221 35.69957, 139.732 35.699490000000004, 139.73195 35.69948, 139.73183 35.699450000000006, 139.73179000000002 35.69943, 139.73172000000002 35.69942, 139.73162000000002 35.699400000000004, 139.73108000000002 35.6993, 139.73078 35.69924, 139.73039 35.69917, 139.73025 35.69914, 139.73011000000002 35.69912, 139.73008000000002 35.699110000000005, 139.73006 35.69912, 139.73002000000002 35.69912, 139.72998 35.699130000000004, 139.72996 35.699130000000004, 139.72990000000001 35.69914, 139.72928000000002 35.699250000000006, 139.72925 35.69926, 139.72924 35.69926, 139.72914 35.699270000000006, 139.7286 35.69937, 139.72822000000002 35.69944, 139.72819 35.69944, 139.72809 35.699450000000006, 139.72801 35.69946, 139.72797 35.69946, 139.72792 35.69946, 139.72788 35.69946, 139.72785000000002 35.69946, 139.72778000000002 35.69946, 139.72765 35.69946, 139.72756 35.69946, 139.72716 35.69944, 139.72704000000002 35.69943, 139.72702 35.69943, 139.72684 35.69942, 139.72676 35.69941, 139.72659000000002 35.69941, 139.72645 35.69941, 139.72623000000002 35.699400000000004, 139.72615000000002 35.699400000000004, 139.72613 35.699400000000004, 139.7261 35.699400000000004, 139.72601 35.69941, 139.72579000000002 35.69944, 139.72565 35.699450000000006, 139.72548 35.699470000000005, 139.72487 35.69953, 139.72417000000002 35.699600000000004, 139.72373000000002 35.699650000000005, 139.72365000000002 35.69966, 139.72351 35.699670000000005, 139.72348000000002 35.699670000000005, 139.7234 35.69968, 139.72324 35.6997, 139.72295 35.69973, 139.72258000000002 35.69977, 139.72232000000002 35.6998, 139.72221000000002 35.69981, 139.72214000000002 35.699830000000006, 139.72207 35.69984, 139.72192 35.699870000000004, 139.72175000000001 35.69991, 139.72159000000002 35.699960000000004, 139.72155 35.69997, 139.72145 35.7, 139.72131000000002 35.70004, 139.72115000000002 35.70009, 139.72094 35.700160000000004)
